fes;time;f
1;47;2147484384
3;63;2147484382
14;94;2147484381
15;94;2147484379
17;110;2147484376
25;125;2147484375
29;125;2147484373
37;141;2147484371
38;141;2147484369
43;157;2147484368
44;157;2147484367
53;172;2147484363
58;172;2147484359
59;172;2147484357
60;172;2147484354
63;172;2147484353
68;188;2147484351
69;188;2147484349
71;188;2147484348
74;188;2147484347
85;203;2147484346
90;203;2147484345
91;203;2147484344
95;219;2147484342
110;235;2147484341
116;235;2147484340
118;235;2147484339
121;235;2147484338
127;250;2147484337
130;250;2147484336
138;250;2147484335
143;266;2147484334
148;266;2147484333
156;282;2147484327
157;282;2147484325
158;282;2147484324
159;282;2147484323
161;282;2147484319
163;282;2147484318
164;282;2147484317
165;282;2147484316
170;282;2147484315
171;282;2147484311
174;297;2147484310
175;297;2147484309
182;297;2147484306
187;297;2147484304
191;313;2147484303
195;313;2147484302
196;313;2147484301
197;313;2147484300
200;313;2147484297
202;313;2147484296
204;313;2147484295
210;328;2147484294
211;328;2147484293
214;328;2147484292
219;328;2147484291
221;328;2147484290
223;328;2147484289
238;344;2147484287
240;344;2147484286
244;344;2147484285
246;344;2147484283
247;360;2147484281
248;360;2147484280
255;363;2147484278
267;379;2147484277
274;379;2147484274
278;379;2147484271
280;379;2147484270
286;394;2147484269
287;394;2147484268
294;394;2147484265
297;394;2147484264
310;410;2147484263
311;410;2147484262
312;410;2147484260
325;426;2147484258
332;426;2147484257
334;426;2147484255
336;426;2147484253
337;426;2147484252
350;441;2147484250
353;441;2147484249
362;441;2147484248
366;457;2147484247
369;457;2147484245
389;473;2147484243
391;473;2147484242
393;473;2147484241
402;473;2147484238
411;488;2147484236
413;488;2147484234
414;488;2147484233
415;488;2147484231
418;488;2147484228
425;504;2147484226
431;504;2147484225
435;504;2147484224
444;519;2147484222
456;519;2147484221
461;519;2147484218
463;535;2147484214
469;535;2147484212
470;535;2147484211
473;535;2147484210
477;535;2147484209
479;535;2147484207
481;535;2147484206
501;551;2147484204
506;566;2147484203
507;566;2147484202
524;582;2147484201
525;582;2147484199
534;582;2147484198
542;582;2147484196
547;598;2147484195
550;598;2147484194
563;598;2147484193
571;613;2147484192
573;613;2147484191
577;613;2147484190
580;613;2147484189
581;613;2147484188
583;613;2147484186
584;613;2147484184
585;613;2147484182
592;629;2147484180
596;629;2147484179
603;629;2147484178
608;629;2147484177
613;644;2147484176
617;644;2147484175
621;644;2147484173
622;644;2147484171
629;644;2147484170
645;660;2147484169
649;660;2147484168
651;660;2147484167
657;676;2147484165
661;676;2147484163
669;676;2147484162
671;676;2147484161
672;676;2147484160
678;691;2147484159
691;691;2147484158
715;707;2147484157
716;707;2147484154
723;722;2147484153
743;738;2147484152
746;738;2147484150
757;738;2147484149
761;738;2147484148
765;738;2147484146
769;754;2147484145
770;754;2147484144
774;754;2147484142
779;754;2147484141
781;754;2147484140
784;754;2147484137
785;754;2147484136
792;769;2147484134
803;769;2147484133
831;785;2147484132
833;801;2147484130
836;801;2147484129
837;801;2147484128
845;801;2147484127
847;801;2147484125
851;801;2147484124
852;801;2147484123
859;816;2147484122
866;816;2147484121
874;816;2147484119
881;832;2147484118
882;832;2147484116
904;847;2147484115
905;847;2147484114
912;847;2147484113
918;847;2147484112
923;863;2147484111
926;863;2147484110
950;879;2147484107
983;894;2147484106
989;894;2147484105
998;910;2147484104
1001;910;2147484102
1037;941;2147484101
1081;972;2147484099
1107;988;2147484098
1114;988;2147484097
1131;1004;2147484096
1153;1019;2147484095
1193;1035;2147484094
